document_id,program_name,methodunit_code,methodunit_name,candidate_type,document_title,document_category,document_url,source_url,extraction_method,review_status,evidence_stage,notes,extracted_at
d99288df4799c680,Climate Action Reserve,,Canada Grassland,methodunit_candidate,Canada Grassland,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/canada-grassland/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
30d0909e4a644127,Climate Action Reserve,,Guatemala Forest,methodunit_candidate,Guatemala Forest,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/guatemala-forest/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
04db03dde8d76a9b,Climate Action Reserve,,Mexico Forest,methodunit_candidate,Mexico Forest,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/mexico-forest/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
0f8102d67c146a72,Climate Action Reserve,,Panama Forest,methodunit_candidate,Panama Forest,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/panama-forest/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
a229b7ca70a5dc7f,Climate Action Reserve,,U.S. and Canada Biochar,methodunit_candidate,U.S. and Canada Biochar,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/biochar/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
cb869bb06e001dd1,Climate Action Reserve,,U.S. Forest,methodunit_candidate,U.S. Forest,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/forest/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
50729cd9a16c3399,Climate Action Reserve,,U.S. Grassland,methodunit_candidate,U.S. Grassland,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/grassland/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
b2fedf13ea61c08e,Climate Action Reserve,,U.S. Nitrogen Management,methodunit_candidate,U.S. Nitrogen Management,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/nitrogen-management/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
896acb6c2abdde6f,Climate Action Reserve,,U.S. Rice Cultivation,methodunit_candidate,U.S. Rice Cultivation,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/rice-cultivation/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
70a0864664eb0c6c,Climate Action Reserve,,U.S. Soil Enrichment,methodunit_candidate,U.S. Soil Enrichment,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/soil-enrichment/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
22753d9978c5c9d8,Climate Action Reserve,,U.S. Urban Forest Management,methodunit_candidate,U.S. Urban Forest Management,methodology_or_protocol_record,https://climateactionreserve.org/how/protocols/ncs/urban-forest/,https://climateactionreserve.org/how/protocols/,table_parse,pending_review,candidate_methodology_record,Candidate protocol from Climate Action Reserve public protocols page.,2026-07-06T00:56:30
